leftId	rightId	blockNum	leftCluster	rightCluster
Cume11g1912	Bhhi8g0030	1		
Cume11g1887	Bhhi8g0059	1		
Cume11g1855	Bhhi8g0065	1		
Cume11g1851	Bhhi8g0090	1		
Cume11g1837	Bhhi8g0136	1		
Cume11g1834	Bhhi8g0141	1		
Cume11g1830	Bhhi8g0142	1		
Cume11g1796	Bhhi8g0178	1		
Cume11g1794	Bhhi8g0179	1		
Cume11g1786	Bhhi8g0186	1		
Cume11g1769	Bhhi8g0194	1		
Cume11g1752	Bhhi8g0211	1		
Cume11g1710	Bhhi8g0241	1		
Cume11g1709	Bhhi8g0242	1		
Cume11g1703	Bhhi8g0250	1		
Cume11g1656	Bhhi8g0255	1		
Cume11g1436	Bhhi8g0250	2		
Cume11g1418	Bhhi8g0283	2		
Cume11g1415	Bhhi8g0286	2		
Cume11g1368	Bhhi8g0311	2		
Cume11g1326	Bhhi8g0317	2		
Cume11g1318	Bhhi8g0367	2		
Cume11g1317	Bhhi8g0368	2		
Cume11g1315	Bhhi8g0370	2		
Cume11g1314	Bhhi8g0374	2		
Cume11g1308	Bhhi8g0376	2		
Cume11g1284	Bhhi8g0392	2		
Cume11g1283	Bhhi8g0393	2		
Cume11g1282	Bhhi8g0394	2		
Cume11g1258	Bhhi8g0406	2		
Cume11g1211	Bhhi8g0415	2		
Cume11g1576	Bhhi8g1342	3		
Cume11g1572	Bhhi8g1357	3		
Cume11g1546	Bhhi8g1374	3		
Cume11g1528	Bhhi8g1381	3		
Cume11g1497	Bhhi8g1402	3		
Cume11g1483	Bhhi8g1435	3		
Cume11g1475	Bhhi8g1439	3		
Cume11g1435	Bhhi8g1449	3		
Cume11g1333	Bhhi8g0143	4		
Cume11g1283	Bhhi8g0168	4		
Cume11g1278	Bhhi8g0177	4		
Cume11g1275	Bhhi8g0217	4		
Cume11g1268	Bhhi8g0223	4		
Cume11g1266	Bhhi8g0227	4		
Cume11g1264	Bhhi8g0230	4		
Cume11g1224	Bhhi8g0237	4		clusterUn
Cume11g1509	Bhhi8g0506	5		
Cume11g1542	Bhhi8g0534	5		
Cume11g1580	Bhhi8g0550	5		
Cume11g1592	Bhhi8g0565	5		
Cume11g1594	Bhhi8g0566	5		
Cume11g1601	Bhhi8g0568	5		
Cume11g1632	Bhhi8g0609	5		
Cume11g1811	Bhhi8g0374	7		
Cume11g1764	Bhhi8g0393	7		
Cume11g1746	Bhhi8g0416	7		
Cume11g1738	Bhhi8g0419	7		
Cume11g1726	Bhhi8g0425	7		
Cume11g1678	Bhhi8g0431	7		
Cume11g0958	Bhhi8g0455	8		
Cume11g0933	Bhhi8g0462	8		
Cume11g0928	Bhhi8g0465	8		
Cume11g0926	Bhhi8g0466	8		
Cume11g0921	Bhhi8g0499	8		
Cume11g0875	Bhhi8g0506	8		
Cume11g0914	Bhhi8g0184	9		
