Bhhi1g0040	BhhiAACT1
Bhhi5g0062	BhhiAACT2
Bhhi5g0979	BhhiAACT3
Bhhi8g0442	BhhiAACT4
Bhhi12g0999	BhhiAACT5
Bhhi1g0072	BhhiCYP1
Bhhi1g0178	BhhiCYP2
Bhhi1g0181	BhhiCYP3
Bhhi1g0297	BhhiCYP4
Bhhi1g0801	BhhiCYP5
Bhhi1g1186	BhhiCYP6
Bhhi1g1293	BhhiCYP7
Bhhi1g1511	BhhiCYP8
Bhhi1g1672	BhhiCYP9
Bhhi1g1738	BhhiCYP10
Bhhi1g1739	BhhiCYP11
Bhhi1g1791	BhhiCYP12
Bhhi1g1875	BhhiCYP13
Bhhi1g1888	BhhiCYP14
Bhhi1g2276	BhhiCYP15
Bhhi2g0109	BhhiCYP16
Bhhi2g0356	BhhiCYP17
Bhhi2g0357	BhhiCYP18
Bhhi2g0358	BhhiCYP19
Bhhi2g0410	BhhiCYP20
Bhhi2g0422	BhhiCYP21
Bhhi2g0653	BhhiCYP22
Bhhi2g0925	BhhiCYP23
Bhhi2g0927	BhhiCYP24
Bhhi2g0929	BhhiCYP25
Bhhi2g1139	BhhiCYP26
Bhhi2g1245	BhhiCYP27
Bhhi3g0052	BhhiCYP28
Bhhi3g0347	BhhiCYP29
Bhhi3g0422	BhhiCYP30
Bhhi3g0423	BhhiCYP31
Bhhi3g0545	BhhiCYP32
Bhhi3g0559	BhhiCYP33
Bhhi3g0570	BhhiCYP34
Bhhi3g0596	BhhiCYP35
Bhhi3g0597	BhhiCYP36
Bhhi3g0781	BhhiCYP37
Bhhi3g0782	BhhiCYP38
Bhhi3g0783	BhhiCYP39
Bhhi3g0785	BhhiCYP40
Bhhi3g0786	BhhiCYP41
Bhhi3g0787	BhhiCYP42
Bhhi3g0945	BhhiCYP43
Bhhi3g1239	BhhiCYP44
Bhhi3g1241	BhhiCYP45
Bhhi3g1243	BhhiCYP46
Bhhi3g1244	BhhiCYP47
Bhhi3g1656	BhhiCYP48
Bhhi4g0134	BhhiCYP49
Bhhi4g0209	BhhiCYP50
Bhhi4g0254	BhhiCYP51
Bhhi4g0290	BhhiCYP52
Bhhi4g0756	BhhiCYP53
Bhhi4g0826	BhhiCYP54
Bhhi5g0088	BhhiCYP55
Bhhi5g0089	BhhiCYP56
Bhhi5g0157	BhhiCYP57
Bhhi5g0680	BhhiCYP58
Bhhi5g0771	BhhiCYP59
Bhhi5g0772	BhhiCYP60
Bhhi5g0892	BhhiCYP61
Bhhi5g1186	BhhiCYP62
Bhhi5g1363	BhhiCYP63
Bhhi6g0057	BhhiCYP64
Bhhi6g0184	BhhiCYP65
Bhhi6g0361	BhhiCYP66
Bhhi6g0703	BhhiCYP67
Bhhi6g0704	BhhiCYP68
Bhhi6g0705	BhhiCYP69
Bhhi6g1216	BhhiCYP70
Bhhi7g0039	BhhiCYP71
Bhhi7g0245	BhhiCYP72
Bhhi7g0337	BhhiCYP73
Bhhi7g0456	BhhiCYP74
Bhhi7g0700	BhhiCYP75
Bhhi7g0886	BhhiCYP76
Bhhi7g0887	BhhiCYP77
Bhhi7g0888	BhhiCYP78
Bhhi7g1118	BhhiCYP79
Bhhi7g1119	BhhiCYP80
Bhhi7g1120	BhhiCYP81
Bhhi7g1122	BhhiCYP82
Bhhi7g1124	BhhiCYP83
Bhhi7g1125	BhhiCYP84
Bhhi7g1183	BhhiCYP85
Bhhi8g0040	BhhiCYP86
Bhhi8g0237	BhhiCYP87
Bhhi8g0315	BhhiCYP88
Bhhi8g0362	BhhiCYP89
Bhhi8g0664	BhhiCYP90
Bhhi8g0875	BhhiCYP91
Bhhi8g1057	BhhiCYP92
Bhhi8g1058	BhhiCYP93
Bhhi8g1060	BhhiCYP94
Bhhi8g1062	BhhiCYP95
Bhhi8g1064	BhhiCYP96
Bhhi8g1066	BhhiCYP97
Bhhi9g0243	BhhiCYP98
Bhhi9g0404	BhhiCYP99
Bhhi9g0476	BhhiCYP100
Bhhi9g0909	BhhiCYP101
Bhhi9g0910	BhhiCYP102
Bhhi9g0949	BhhiCYP103
Bhhi9g1219	BhhiCYP104
Bhhi9g1220	BhhiCYP105
Bhhi9g1232	BhhiCYP106
Bhhi9g1322	BhhiCYP107
Bhhi9g1323	BhhiCYP108
Bhhi9g1324	BhhiCYP109
Bhhi9g1326	BhhiCYP110
Bhhi9g1327	BhhiCYP111
Bhhi9g1331	BhhiCYP112
Bhhi9g1332	BhhiCYP113
Bhhi9g1336	BhhiCYP114
Bhhi9g1337	BhhiCYP115
Bhhi9g1343	BhhiCYP116
Bhhi9g1344	BhhiCYP117
Bhhi9g1346	BhhiCYP118
Bhhi9g1347	BhhiCYP119
Bhhi9g1348	BhhiCYP120
Bhhi9g1349	BhhiCYP121
Bhhi9g1350	BhhiCYP122
Bhhi9g1705	BhhiCYP123
Bhhi9g1980	BhhiCYP124
Bhhi9g2060	BhhiCYP125
Bhhi9g2061	BhhiCYP126
Bhhi9g2064	BhhiCYP127
Bhhi9g2065	BhhiCYP128
Bhhi9g2108	BhhiCYP129
Bhhi9g2144	BhhiCYP130
Bhhi9g2266	BhhiCYP131
Bhhi10g0559	BhhiCYP132
Bhhi10g0939	BhhiCYP133
Bhhi10g0940	BhhiCYP134
Bhhi10g0942	BhhiCYP135
Bhhi10g0943	BhhiCYP136
Bhhi10g0944	BhhiCYP137
Bhhi10g0947	BhhiCYP138
Bhhi10g0957	BhhiCYP139
Bhhi10g0958	BhhiCYP140
Bhhi10g0993	BhhiCYP141
Bhhi10g1010	BhhiCYP142
Bhhi10g1032	BhhiCYP143
Bhhi10g1033	BhhiCYP144
Bhhi10g1035	BhhiCYP145
Bhhi10g1036	BhhiCYP146
Bhhi10g1038	BhhiCYP147
Bhhi10g1482	BhhiCYP148
Bhhi11g0086	BhhiCYP149
Bhhi11g0087	BhhiCYP150
Bhhi11g0231	BhhiCYP151
Bhhi11g0340	BhhiCYP152
Bhhi11g0552	BhhiCYP153
Bhhi11g0829	BhhiCYP154
Bhhi11g0878	BhhiCYP155
Bhhi11g0879	BhhiCYP156
Bhhi11g0880	BhhiCYP157
Bhhi11g1230	BhhiCYP158
Bhhi11g1273	BhhiCYP159
Bhhi11g1623	BhhiCYP160
Bhhi11g1624	BhhiCYP161
Bhhi11g1625	BhhiCYP162
Bhhi11g1626	BhhiCYP163
Bhhi11g1645	BhhiCYP164
Bhhi11g1646	BhhiCYP165
Bhhi11g1647	BhhiCYP166
Bhhi11g1689	BhhiCYP167
Bhhi11g1690	BhhiCYP168
Bhhi11g1783	BhhiCYP169
Bhhi11g1786	BhhiCYP170
Bhhi11g1787	BhhiCYP171
Bhhi11g1788	BhhiCYP172
Bhhi11g1898	BhhiCYP173
Bhhi12g0190	BhhiCYP174
Bhhi12g0239	BhhiCYP175
Bhhi12g0241	BhhiCYP176
Bhhi12g0276	BhhiCYP177
Bhhi12g0278	BhhiCYP178
Bhhi12g0279	BhhiCYP179
Bhhi12g0281	BhhiCYP180
Bhhi12g0282	BhhiCYP181
Bhhi12g0354	BhhiCYP182
Bhhi12g0377	BhhiCYP183
Bhhi12g0383	BhhiCYP184
Bhhi12g0958	BhhiCYP185
Bhhi12g1240	BhhiCYP186
Bhhi12g1334	BhhiCYP187
Bhhi12g1445	BhhiCYP188
Bhhi12g1582	BhhiCYP189
Bhhi12g1583	BhhiCYP190
Bhhi12g1586	BhhiCYP191
Bhhi12g1696	BhhiCYP192
Bhhi1g0312	BhhiMK1
Bhhi5g1269	BhhiMK2
Bhhi1g0598	BhhiAT1
Bhhi1g0788	BhhiAT2
Bhhi1g1191	BhhiAT3
Bhhi1g1193	BhhiAT4
Bhhi1g1638	BhhiAT5
Bhhi1g1640	BhhiAT6
Bhhi1g1641	BhhiAT7
Bhhi1g1864	BhhiAT8
Bhhi2g0341	BhhiAT9
Bhhi2g0397	BhhiAT10
Bhhi2g0682	BhhiAT11
Bhhi3g0208	BhhiAT12
Bhhi3g1339	BhhiAT13
Bhhi4g0137	BhhiAT14
Bhhi4g0406	BhhiAT15
Bhhi4g0407	BhhiAT16
Bhhi4g0408	BhhiAT17
Bhhi4g1472	BhhiAT18
Bhhi5g0825	BhhiAT19
Bhhi6g0205	BhhiAT20
Bhhi6g0623	BhhiAT21
Bhhi6g1086	BhhiAT22
Bhhi7g0312	BhhiAT23
Bhhi7g0715	BhhiAT24
Bhhi7g1151	BhhiAT25
Bhhi8g0404	BhhiAT26
Bhhi8g0407	BhhiAT27
Bhhi8g0411	BhhiAT28
Bhhi8g0876	BhhiAT29
Bhhi8g1095	BhhiAT30
Bhhi9g0347	BhhiAT31
Bhhi9g1625	BhhiAT32
Bhhi9g1890	BhhiAT33
Bhhi9g2088	BhhiAT34
Bhhi9g2089	BhhiAT35
Bhhi9g2090	BhhiAT36
Bhhi9g2091	BhhiAT37
Bhhi10g0971	BhhiAT38
Bhhi10g0972	BhhiAT39
Bhhi10g0973	BhhiAT40
Bhhi10g0974	BhhiAT41
Bhhi10g0975	BhhiAT42
Bhhi10g0976	BhhiAT43
Bhhi10g0977	BhhiAT44
Bhhi10g0978	BhhiAT45
Bhhi10g0981	BhhiAT46
Bhhi10g1050	BhhiAT47
Bhhi11g0716	BhhiAT48
Bhhi11g0717	BhhiAT49
Bhhi11g0718	BhhiAT50
Bhhi12g0967	BhhiAT51
Bhhi12g1585	BhhiAT52
Bhhi1g0671	BhhiPMK1
Bhhi1g1151	BhhiIPPI1
Bhhi2g0636	BhhiIPPI2
Bhhi2g0812	BhhiIPPI3
Bhhi3g0210	BhhiIPPI4
Bhhi4g0004	BhhiIPPI5
Bhhi4g0887	BhhiIPPI6
Bhhi5g0978	BhhiIPPI7
Bhhi6g0672	BhhiIPPI8
Bhhi6g1219	BhhiIPPI9
Bhhi7g0156	BhhiIPPI10
Bhhi7g0428	BhhiIPPI11
Bhhi7g0516	BhhiIPPI12
Bhhi7g0848	BhhiIPPI13
Bhhi8g1445	BhhiIPPI14
Bhhi9g0352	BhhiIPPI15
Bhhi11g0036	BhhiIPPI16
Bhhi11g1522	BhhiIPPI17
Bhhi11g1614	BhhiIPPI18
Bhhi12g0238	BhhiIPPI19
Bhhi12g0560	BhhiIPPI20
Bhhi12g0628	BhhiIPPI21
Bhhi12g0832	BhhiIPPI22
Bhhi1g1911	BhhiSQS1
Bhhi10g0263	BhhiSQS2
Bhhi10g1248	BhhiSQS3
Bhhi12g0791	BhhiSQS4
Bhhi1g1952	BhhiFPPS1
Bhhi8g0426	BhhiFPPS2
Bhhi9g1161	BhhiFPPS3
Bhhi2g0107	BhhiOSC1
Bhhi4g0489	BhhiOSC2
Bhhi6g0399	BhhiOSC3
Bhhi6g0502	BhhiOSC4
Bhhi6g1054	BhhiOSC5
Bhhi9g0120	BhhiOSC6
Bhhi9g0122	BhhiOSC7
Bhhi12g1584	BhhiOSC8
Bhhi3g0078	BhhiGPPS1
Bhhi3g1230	BhhiGPPS2
Bhhi5g1097	BhhiGPPS3
Bhhi10g1450	BhhiGPPS4
Bhhi4g0336	BhhiSQE1
Bhhi5g0627	BhhiSQE2
Bhhi9g2012	BhhiSQE3
Bhhi4g0819	BhhiHMGR1
Bhhi5g1010	BhhiHMGR2
Bhhi7g0444	BhhiMPDC1
Bhhi11g0223	BhhiHMGS1
