Cume1g0009	CumeCYP1
Cume1g0010	CumeCYP2
Cume1g0047	CumeCYP3
Cume1g0442	CumeCYP4
Cume1g0680	CumeCYP5
Cume1g1350	CumeCYP6
Cume1g2420	CumeCYP7
Cume1g2492	CumeCYP8
Cume1g2852	CumeCYP9
Cume2g0165	CumeCYP10
Cume2g0288	CumeCYP11
Cume2g0595	CumeCYP12
Cume2g0599	CumeCYP13
Cume2g0602	CumeCYP14
Cume2g0603	CumeCYP15
Cume2g0820	CumeCYP16
Cume2g1253	CumeCYP17
Cume2g1837	CumeCYP18
Cume2g2011	CumeCYP19
Cume2g2059	CumeCYP20
Cume3g0953	CumeCYP21
Cume3g0954	CumeCYP22
Cume3g1169	CumeCYP23
Cume3g1458	CumeCYP24
Cume3g1934	CumeCYP25
Cume3g1990	CumeCYP26
Cume3g2046	CumeCYP27
Cume3g2084	CumeCYP28
Cume4g0078	CumeCYP29
Cume4g0079	CumeCYP30
Cume4g0082	CumeCYP31
Cume4g0083	CumeCYP32
Cume4g0084	CumeCYP33
Cume4g0085	CumeCYP34
Cume4g0087	CumeCYP35
Cume4g0510	CumeCYP36
Cume4g0576	CumeCYP37
Cume4g0603	CumeCYP38
Cume4g0606	CumeCYP39
Cume4g0607	CumeCYP40
Cume4g0609	CumeCYP41
Cume4g0637	CumeCYP42
Cume4g0638	CumeCYP43
Cume4g0647	CumeCYP44
Cume4g0648	CumeCYP45
Cume4g0651	CumeCYP46
Cume4g0654	CumeCYP47
Cume4g0661	CumeCYP48
Cume4g0662	CumeCYP49
Cume4g0665	CumeCYP50
Cume4g0667	CumeCYP51
Cume4g0668	CumeCYP52
Cume4g0671	CumeCYP53
Cume4g0928	CumeCYP54
Cume4g0931	CumeCYP55
Cume4g0932	CumeCYP56
Cume4g0935	CumeCYP57
Cume4g1196	CumeCYP58
Cume4g1301	CumeCYP59
Cume4g1302	CumeCYP60
Cume4g1347	CumeCYP61
Cume4g1571	CumeCYP62
Cume4g1598	CumeCYP63
Cume4g1663	CumeCYP64
Cume4g1664	CumeCYP65
Cume4g1665	CumeCYP66
Cume4g1986	CumeCYP67
Cume4g1987	CumeCYP68
Cume4g2123	CumeCYP69
Cume4g2126	CumeCYP70
Cume4g2127	CumeCYP71
Cume4g2128	CumeCYP72
Cume4g2217	CumeCYP73
Cume4g2218	CumeCYP74
Cume4g2412	CumeCYP75
Cume4g2444	CumeCYP76
Cume5g0299	CumeCYP77
Cume5g0728	CumeCYP78
Cume5g0899	CumeCYP79
Cume5g1238	CumeCYP80
Cume5g1239	CumeCYP81
Cume5g1240	CumeCYP82
Cume5g1241	CumeCYP83
Cume5g1942	CumeCYP84
Cume6g0092	CumeCYP85
Cume6g0237	CumeCYP86
Cume6g0241	CumeCYP87
Cume6g0309	CumeCYP88
Cume6g1006	CumeCYP89
Cume6g1445	CumeCYP90
Cume6g1675	CumeCYP91
Cume6g1724	CumeCYP92
Cume6g1814	CumeCYP93
Cume6g2018	CumeCYP94
Cume6g2490	CumeCYP95
Cume6g2491	CumeCYP96
Cume6g2492	CumeCYP97
Cume6g2674	CumeCYP98
Cume6g2829	CumeCYP99
Cume7g0217	CumeCYP100
Cume7g0305	CumeCYP101
Cume7g0306	CumeCYP102
Cume7g0307	CumeCYP103
Cume7g0312	CumeCYP104
Cume7g0313	CumeCYP105
Cume7g0357	CumeCYP106
Cume7g0393	CumeCYP107
Cume7g0426	CumeCYP108
Cume7g0428	CumeCYP109
Cume7g0429	CumeCYP110
Cume7g0430	CumeCYP111
Cume7g0886	CumeCYP112
Cume7g1231	CumeCYP113
Cume7g1477	CumeCYP114
Cume7g1491	CumeCYP115
Cume7g1696	CumeCYP116
Cume7g1717	CumeCYP117
Cume7g1991	CumeCYP118
Cume8g0146	CumeCYP119
Cume8g0389	CumeCYP120
Cume8g0484	CumeCYP121
Cume8g0485	CumeCYP122
Cume8g0487	CumeCYP123
Cume8g0488	CumeCYP124
Cume8g0489	CumeCYP125
Cume8g0490	CumeCYP126
Cume8g0605	CumeCYP127
Cume8g0607	CumeCYP128
Cume8g0807	CumeCYP129
Cume8g0808	CumeCYP130
Cume8g0809	CumeCYP131
Cume8g0810	CumeCYP132
Cume8g0811	CumeCYP133
Cume8g0812	CumeCYP134
Cume8g0814	CumeCYP135
Cume8g0815	CumeCYP136
Cume8g0877	CumeCYP137
Cume8g0892	CumeCYP138
Cume8g0907	CumeCYP139
Cume8g1253	CumeCYP140
Cume8g1508	CumeCYP141
Cume8g1542	CumeCYP142
Cume9g0147	CumeCYP143
Cume9g0202	CumeCYP144
Cume9g0445	CumeCYP145
Cume9g0809	CumeCYP146
Cume9g1454	CumeCYP147
Cume9g1553	CumeCYP148
Cume9g1657	CumeCYP149
Cume9g1658	CumeCYP150
Cume9g1660	CumeCYP151
Cume9g1661	CumeCYP152
Cume9g1662	CumeCYP153
Cume9g1687	CumeCYP154
Cume9g1688	CumeCYP155
Cume9g1689	CumeCYP156
Cume9g1690	CumeCYP157
Cume9g1691	CumeCYP158
Cume9g1693	CumeCYP159
Cume9g1772	CumeCYP160
Cume9g1952	CumeCYP161
Cume10g0136	CumeCYP162
Cume10g0342	CumeCYP163
Cume10g0343	CumeCYP164
Cume10g0344	CumeCYP165
Cume10g0589	CumeCYP166
Cume10g0590	CumeCYP167
Cume10g0592	CumeCYP168
Cume10g0594	CumeCYP169
Cume10g0595	CumeCYP170
Cume10g0596	CumeCYP171
Cume10g0597	CumeCYP172
Cume10g0598	CumeCYP173
Cume10g0599	CumeCYP174
Cume10g0659	CumeCYP175
Cume10g0735	CumeCYP176
Cume10g1069	CumeCYP177
Cume10g1281	CumeCYP178
Cume10g1292	CumeCYP179
Cume10g1696	CumeCYP180
Cume11g0175	CumeCYP181
Cume11g0196	CumeCYP182
Cume11g0583	CumeCYP183
Cume11g0586	CumeCYP184
Cume11g0587	CumeCYP185
Cume11g0591	CumeCYP186
Cume11g0592	CumeCYP187
Cume11g0593	CumeCYP188
Cume11g0594	CumeCYP189
Cume11g0596	CumeCYP190
Cume11g0644	CumeCYP191
Cume11g0735	CumeCYP192
Cume11g0738	CumeCYP193
Cume11g0739	CumeCYP194
Cume11g0746	CumeCYP195
Cume11g0747	CumeCYP196
Cume11g0751	CumeCYP197
Cume11g1682	CumeCYP198
Cume11g2128	CumeCYP199
Cume11g2166	CumeCYP200
Cume11g2256	CumeCYP201
Cume11g2383	CumeCYP202
Cume11g2386	CumeCYP203
Cume11g2387	CumeCYP204
Cume11g2388	CumeCYP205
Cume11g2477	CumeCYP206
Cume12g0007	CumeCYP207
Cume12g0101	CumeCYP208
Cume12g0155	CumeCYP209
Cume12g0554	CumeCYP210
Cume12g0613	CumeCYP211
Cume12g1642	CumeCYP212
Cume12g1643	CumeCYP213
Cume12g1644	CumeCYP214
Cume12g1646	CumeCYP215
Cume12g1647	CumeCYP216
Cume12g1648	CumeCYP217
Cume12g1649	CumeCYP218
Cume12g1650	CumeCYP219
Cume12g1651	CumeCYP220
Cume12g1652	CumeCYP221
Cume12g1653	CumeCYP222
Cume12g1766	CumeCYP223
Cume12g1927	CumeCYP224
Cume1g0150	CumeSQE1
Cume3g2128	CumeSQE2
Cume7g0254	CumeSQE3
