id	fid	cluster
Bhhi1g0040	BhhiAACT1	clusterUn
Bhhi1g0072	BhhiCYP1	clusterUn
Bhhi1g0178	BhhiCYP2	clusterUn
Bhhi1g0181	BhhiCYP3	clusterUn
Bhhi1g0297	BhhiCYP4	clusterUn
Bhhi1g0312	BhhiMK1	clusterUn
Bhhi1g0598	BhhiAT1	clusterUn
Bhhi1g0671	BhhiPMK1	clusterUn
Bhhi1g0788	BhhiAT2	clusterUn
Bhhi1g0801	BhhiCYP5	clusterUn
Bhhi1g1151	BhhiIPPI1	Right_Bhhi1_cluster_1
Bhhi1g1186	BhhiCYP6	Right_Bhhi1_cluster_1
Bhhi1g1191	BhhiAT3	Right_Bhhi1_cluster_1
Bhhi1g1193	BhhiAT4	Right_Bhhi1_cluster_1
Bhhi1g1293	BhhiCYP7	clusterUn
Bhhi1g1511	BhhiCYP8	clusterUn
Bhhi1g1638	BhhiAT5	Right_Bhhi1_cluster_2
Bhhi1g1640	BhhiAT6	Right_Bhhi1_cluster_2
Bhhi1g1641	BhhiAT7	Right_Bhhi1_cluster_2
Bhhi1g1672	BhhiCYP9	Right_Bhhi1_cluster_2
Bhhi1g1738	BhhiCYP10	Right_Bhhi1_cluster_3
Bhhi1g1739	BhhiCYP11	Right_Bhhi1_cluster_3
Bhhi1g1791	BhhiCYP12	Right_Bhhi1_cluster_3
Bhhi1g1864	BhhiAT8	Right_Bhhi1_cluster_4
Bhhi1g1875	BhhiCYP13	Right_Bhhi1_cluster_4
Bhhi1g1888	BhhiCYP14	Right_Bhhi1_cluster_4
Bhhi1g1911	BhhiSQS1	Right_Bhhi1_cluster_4
Bhhi1g1952	BhhiFPPS1	clusterUn
Bhhi2g0107	BhhiOSC1	clusterUn
Bhhi2g0109	BhhiCYP16	clusterUn
Bhhi2g0341	BhhiAT9	Right_Bhhi2_cluster_1
Bhhi2g0356	BhhiCYP17	Right_Bhhi2_cluster_1
