id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,tandem_ratio,density1,density2,class1,class2
2,1,1,602.0,741.0,603.0,742.0,0.149,32,0.4102,0.48545625,0.625,0.75,0.84375,0.90625,0.96875,602_603_604_605_617_618_619_627_628_629_635_642_645_651_665_679_680_689_697_698_704_705_707_708_720_722_726_727_729_739_740_741,603_605_606_607_610_611_613_628_629_630_636_638_646_649_664_678_686_687_698_699_702_703_705_707_719_720_724_725_727_740_741_742,0.4961_0.2856_0.0248_0.5491_0.0387_0.0247_0.4839_0.4946_0.5372_0.3476_0.7906_0.4_0.7482_2.7324_1.1391_0.4204_0.2338_0.6093_0.3959_0.7937_0.6735_0.0407_0.0538_0.1004_0.4607_0.6628_0.7507_0.3175_0.3692_0.2094_0.1372_0.213,0.2570564516129032,0.2285714285714285,0.2285714285714285,0,0
4,1,1,869.0,956.0,868.0,957.0,0.1638,19,0.1803,0.5023588235294117,0.5263157894736842,0.7894736842105263,0.8421052631578947,0.8421052631578947,0.8947368421052632,869_870_872_873_892_897_912_914_915_916_920_921_922_924_931_934_940_945_956,868_869_870_871_894_896_913_916_920_921_922_923_924_925_932_933_942_949_957,0.0572_0.0416_0.0866_0.3613_1.9247_0.7005_1.2204_0.1803_0.1418_0.1826_0.071_0.1237_0.0823_0.1504_2.2096_0.2238_0.7823_-1_-1,0.3089244851258581,0.2159090909090909,0.2111111111111111,0,0
5,1,1,456.0,575.0,454.0,574.0,0.1797,18,0.40375,0.5935111111111111,0.7777777777777778,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9444444444444444,456_459_466_472_475_482_484_494_512_514_517_523_527_528_542_556_562_575,454_456_468_473_476_484_485_496_513_517_518_522_523_524_544_557_563_574,0.0967_1.8088_0.4124_0.3085_0.2703_1.5199_1.2545_1.4898_0.7321_0.2107_0.4926_0.1386_0.1048_0.1539_0.1263_0.4211_0.3951_0.7471,0.1025641025641025,0.15,0.1487603305785124,0,0
6,1,1,1597.0,1708.0,1598.0,1709.0,0.1772,14,0.8627,0.7615538461538461,0.8571428571428571,0.9285714285714286,0.9285714285714286,1.0,1.0,1597_1598_1622_1628_1633_1642_1651_1658_1662_1673_1674_1693_1705_1708,1598_1599_1623_1629_1632_1641_1659_1662_1663_1675_1676_1694_1706_1709,2.1372_1.7159_1.0875_1.0112_1.5486_-1_0.0_0.2605_0.9914_0.1566_0.0681_0.0452_0.8627_0.0153,0.0178571428571428,0.125,0.125,0,0
12,1,1,1044.0,1063.0,1043.0,1064.0,0.0943,5,1.119,1.1825,0.8,0.8,1.0,1.0,1.0,1044_1045_1057_1062_1063,1043_1044_1058_1063_1064,1.2584_1.0309_1.119_1.1132_1.391,0.1142857142857143,0.25,0.2272727272727272,0,0
28,1,1,610.0,617.0,617.0,610.0,0.0239,6,0.0795,0.0767166666666666,0.8333333333333334,1.0,1.0,1.0,1.0,610_611_613_615_616_617,617_616_614_613_611_610,0.0387_0.0795_0.1171_0.1068_0.0795_0.0387,0.0238095238095238,0.75,0.75,0,0
36,1,1,107.0,116.0,117.0,107.0,0.1042,5,0.1281,0.3474399999999999,0.8,1.0,1.0,1.0,1.0,107_108_109_111_116,117_112_111_109_107,0.6791_0.1221_0.1281_0.1281_0.6798,0.0333333333333333,0.5,0.4545454545454545,0,0
48,1,1,284.0,290.0,63.0,54.0,0.1954,5,0.1727,0.27628,-0.2,-0.2,0.0,0.0,0.2,284_285_287_289_290,63_62_57_56_54,0.0815_0.8214_0.1727_0.0958_0.21,0.1777777777777777,0.7142857142857143,0.5,0,0
61,1,2,889.0,965.0,959.0,1003.0,0.1113,10,2.051,2.114728571428572,0.7,0.8,1.0,1.0,1.0,889_912_930_932_956_959_962_963_964_965,959_963_967_976_991_992_995_997_999_1003,-1_-1_2.1332_2.3361_2.8039_2.051_1.9383_1.5857_-1_1.9549,0.0,0.1298701298701298,0.2222222222222222,0,0
62,1,2,1077.0,1102.0,1107.0,1130.0,0.0253,8,2.2047,2.2552857142857143,0.75,1.0,1.0,1.0,1.0,1077_1078_1079_1088_1090_1099_1101_1102,1107_1110_1113_1123_1125_1128_1129_1130,2.4241_2.0629_2.4609_3.7267_2.2047_1.2584_-1_1.6493,0.0,0.3076923076923077,0.3333333333333333,0,0
