id	fid	cluster
Cume1g0009	CumeCYP1	Left_Cume1_cluster_1
Cume1g0010	CumeCYP2	Left_Cume1_cluster_1
Cume1g0047	CumeCYP3	Left_Cume1_cluster_1
Cume1g0150	CumeSQE1	Left_Cume1_cluster_1
Cume1g0442	CumeCYP4	Left_Cume1_cluster_2
Cume1g0557	CumeIPPI1	Left_Cume1_cluster_2
Cume1g0558	CumeAACT1	Left_Cume1_cluster_2
Cume1g0680	CumeCYP5	Left_Cume1_cluster_2
Cume1g0870	CumeFPPS1	clusterUn
Cume1g1214	CumeGPPS1	clusterUn
Cume1g1350	CumeCYP6	clusterUn
Cume1g1806	CumeAT1	clusterUn
Cume1g1907	CumeHMGR1	clusterUn
Cume2g0165	CumeCYP10	clusterUn
Cume2g0288	CumeCYP11	clusterUn
Cume2g0595	CumeCYP12	Left_Cume2_cluster_1
Cume2g0599	CumeCYP13	Left_Cume2_cluster_1
Cume2g0602	CumeCYP14	Left_Cume2_cluster_1
Cume2g0603	CumeCYP15	Left_Cume2_cluster_1
Cume2g0820	CumeCYP16	clusterUn
Cume2g0907	CumeIPPI5	clusterUn
Cume2g1243	CumeIPPI6	Left_Cume2_cluster_2
Cume2g1253	CumeCYP17	Left_Cume2_cluster_2
Cume2g1307	CumeAT4	Left_Cume2_cluster_2
Cume3g0232	CumeAT7	clusterUn
Cume3g0910	CumeFPPS2	Left_Cume3_cluster_1
Cume3g0953	CumeCYP21	Left_Cume3_cluster_1
Cume3g0954	CumeCYP22	Left_Cume3_cluster_1
Cume3g1169	CumeCYP23	Left_Cume3_cluster_2
Cume3g1280	CumeIPPI7	Left_Cume3_cluster_2
Cume3g1323	CumeHMGR2	Left_Cume3_cluster_2
Cume3g1458	CumeCYP24	Left_Cume3_cluster_2
Cume3g1484	CumeIPPI8	Left_Cume3_cluster_2
Cume4g0078	CumeCYP29	Left_Cume4_cluster_1
Cume4g0079	CumeCYP30	Left_Cume4_cluster_1
Cume4g0082	CumeCYP31	Left_Cume4_cluster_1
Cume4g0083	CumeCYP32	Left_Cume4_cluster_1
Cume4g0084	CumeCYP33	Left_Cume4_cluster_1
Cume4g0085	CumeCYP34	Left_Cume4_cluster_1
Cume4g0087	CumeCYP35	Left_Cume4_cluster_1
Cume4g0234	CumeAT12	Left_Cume4_cluster_1
Cume4g0314	CumePMK1	Left_Cume4_cluster_1
Cume4g0510	CumeCYP36	Left_Cume4_cluster_1
Cume4g0576	CumeCYP37	Left_Cume4_cluster_1
Cume4g0603	CumeCYP38	Left_Cume4_cluster_1
Cume4g0606	CumeCYP39	Left_Cume4_cluster_1
Cume4g0607	CumeCYP40	Left_Cume4_cluster_1
Cume4g0609	CumeCYP41	Left_Cume4_cluster_1
Cume4g0638	CumeCYP43	Left_Cume4_cluster_1
Cume4g0637	CumeCYP42	Left_Cume4_cluster_1
Cume4g0647	CumeCYP44	Left_Cume4_cluster_1
Cume4g0648	CumeCYP45	Left_Cume4_cluster_1
Cume4g0651	CumeCYP46	Left_Cume4_cluster_1
Cume4g0654	CumeCYP47	Left_Cume4_cluster_1
Cume4g0661	CumeCYP48	Left_Cume4_cluster_1
Cume4g0662	CumeCYP49	Left_Cume4_cluster_1
Cume4g0665	CumeCYP50	Left_Cume4_cluster_1
Cume4g0667	CumeCYP51	Left_Cume4_cluster_1
Cume4g0668	CumeCYP52	Left_Cume4_cluster_1
Cume4g0671	CumeCYP53	Left_Cume4_cluster_1
Cume4g0869	CumeAACT2	Left_Cume4_cluster_2
Cume4g0928	CumeCYP54	Left_Cume4_cluster_2
Cume4g0931	CumeCYP55	Left_Cume4_cluster_2
Cume4g0932	CumeCYP56	Left_Cume4_cluster_2
Cume4g0935	CumeCYP57	Left_Cume4_cluster_2
Cume4g1196	CumeCYP58	Left_Cume4_cluster_3
Cume4g1301	CumeCYP59	Left_Cume4_cluster_3
Cume4g1302	CumeCYP60	Left_Cume4_cluster_3
Cume4g1347	CumeCYP61	Left_Cume4_cluster_3
Cume4g1571	CumeCYP62	Left_Cume4_cluster_4
Cume4g1598	CumeCYP63	Left_Cume4_cluster_4
Cume4g1663	CumeCYP64	Left_Cume4_cluster_4
Cume4g1664	CumeCYP65	Left_Cume4_cluster_4
Cume4g1665	CumeCYP66	Left_Cume4_cluster_4
Cume5g0071	CumeSQS1	clusterUn
Cume5g0299	CumeCYP77	clusterUn
Cume5g0692	CumeAACT3	Left_Cume5_cluster_1
Cume5g0728	CumeCYP78	Left_Cume5_cluster_1
Cume5g0735	CumeAT14	Left_Cume5_cluster_1
Cume5g0899	CumeCYP79	clusterUn
Cume5g1136	CumeIPPI10	Left_Cume5_cluster_2
Cume5g1238	CumeCYP80	Left_Cume5_cluster_2
Cume5g1239	CumeCYP81	Left_Cume5_cluster_2
Cume5g1240	CumeCYP82	Left_Cume5_cluster_2
Cume5g1241	CumeCYP83	Left_Cume5_cluster_2
Cume6g0079	CumeMK3	Left_Cume6_cluster_1
Cume6g0092	CumeCYP85	Left_Cume6_cluster_1
Cume6g0237	CumeCYP86	Left_Cume6_cluster_1
Cume6g0241	CumeCYP87	Left_Cume6_cluster_1
Cume6g0309	CumeCYP88	Left_Cume6_cluster_1
Cume6g0405	CumeAACT4	Left_Cume6_cluster_1
Cume6g0722	CumeAT16	Left_Cume6_cluster_2
Cume6g0801	CumePMK2	Left_Cume6_cluster_2
Cume6g1006	CumeCYP89	Left_Cume6_cluster_2
Cume6g1021	CumeAT17	Left_Cume6_cluster_2
Cume6g1445	CumeCYP90	clusterUn
Cume6g1675	CumeCYP91	Left_Cume6_cluster_3
Cume6g1724	CumeCYP92	Left_Cume6_cluster_3
Cume6g1814	CumeCYP93	Left_Cume6_cluster_3
Cume6g1959	CumeIPPI12	clusterUn
Cume6g2018	CumeCYP94	clusterUn
Cume7g0109	CumeAT18	Left_Cume7_cluster_1
Cume7g0217	CumeCYP100	Left_Cume7_cluster_1
Cume7g0254	CumeSQE3	Left_Cume7_cluster_1
Cume7g0305	CumeCYP101	Left_Cume7_cluster_1
Cume7g0306	CumeCYP102	Left_Cume7_cluster_1
Cume7g0307	CumeCYP103	Left_Cume7_cluster_1
Cume7g0312	CumeCYP104	Left_Cume7_cluster_1
Cume7g0313	CumeCYP105	Left_Cume7_cluster_1
Cume7g0335	CumeAT19	Left_Cume7_cluster_1
Cume7g0336	CumeAT20	Left_Cume7_cluster_1
Cume7g0338	CumeAT21	Left_Cume7_cluster_1
Cume7g0339	CumeAT22	Left_Cume7_cluster_1
Cume7g0340	CumeAT23	Left_Cume7_cluster_1
Cume7g0357	CumeCYP106	Left_Cume7_cluster_1
Cume7g0393	CumeCYP107	Left_Cume7_cluster_1
Cume7g0426	CumeCYP108	Left_Cume7_cluster_1
Cume7g0428	CumeCYP109	Left_Cume7_cluster_1
Cume7g0429	CumeCYP110	Left_Cume7_cluster_1
Cume7g0430	CumeCYP111	Left_Cume7_cluster_1
Cume7g0886	CumeCYP112	clusterUn
Cume7g1231	CumeCYP113	clusterUn
Cume8g0115	CumeGPPS2	Left_Cume8_cluster_1
Cume8g0146	CumeCYP119	Left_Cume8_cluster_1
Cume8g0244	CumeAT31	Left_Cume8_cluster_1
Cume8g0246	CumeIPPI14	Left_Cume8_cluster_1
Cume8g0389	CumeCYP120	Left_Cume8_cluster_1
Cume8g0484	CumeCYP121	Left_Cume8_cluster_1
Cume8g0485	CumeCYP122	Left_Cume8_cluster_1
Cume8g0487	CumeCYP123	Left_Cume8_cluster_1
Cume8g0488	CumeCYP124	Left_Cume8_cluster_1
Cume8g0489	CumeCYP125	Left_Cume8_cluster_1
Cume8g0490	CumeCYP126	Left_Cume8_cluster_1
Cume8g0499	CumeGPPS3	Left_Cume8_cluster_1
Cume8g0605	CumeCYP127	Left_Cume8_cluster_1
Cume8g0607	CumeCYP128	Left_Cume8_cluster_1
Cume8g0807	CumeCYP129	Left_Cume8_cluster_1
Cume8g0808	CumeCYP130	Left_Cume8_cluster_1
Cume8g0809	CumeCYP131	Left_Cume8_cluster_1
Cume8g0810	CumeCYP132	Left_Cume8_cluster_1
Cume8g0811	CumeCYP133	Left_Cume8_cluster_1
Cume8g0812	CumeCYP134	Left_Cume8_cluster_1
Cume8g0814	CumeCYP135	Left_Cume8_cluster_1
Cume8g0815	CumeCYP136	Left_Cume8_cluster_1
Cume8g0877	CumeCYP137	Left_Cume8_cluster_1
Cume8g0892	CumeCYP138	Left_Cume8_cluster_1
Cume8g0907	CumeCYP139	Left_Cume8_cluster_1
Cume8g1031	CumeIPPI15	Left_Cume8_cluster_1
Cume8g1253	CumeCYP140	clusterUn
Cume8g1508	CumeCYP141	clusterUn
Cume8g1542	CumeCYP142	clusterUn
Cume8g1990	CumeAT32	clusterUn
Cume9g0147	CumeCYP143	Left_Cume9_cluster_1
Cume9g0202	CumeCYP144	Left_Cume9_cluster_1
Cume9g0215	CumeAT34	Left_Cume9_cluster_1
Cume9g0445	CumeCYP145	clusterUn
Cume9g0708	CumeOSC5	clusterUn
Cume9g0809	CumeCYP146	clusterUn
Cume9g0912	CumeIPPI16	clusterUn
Cume9g1005	CumeSQS4	clusterUn
Cume10g0072	CumeIPPI20	Left_Cume10_cluster_1
Cume10g0136	CumeCYP162	Left_Cume10_cluster_1
Cume10g0144	CumeMPDC1	Left_Cume10_cluster_1
Cume10g0166	CumeIPPI21	Left_Cume10_cluster_1
Cume10g0305	CumeIPPI22	Left_Cume10_cluster_1
Cume10g0342	CumeCYP163	Left_Cume10_cluster_1
Cume10g0343	CumeCYP164	Left_Cume10_cluster_1
Cume10g0344	CumeCYP165	Left_Cume10_cluster_1
Cume10g0589	CumeCYP166	Left_Cume10_cluster_1
Cume10g0590	CumeCYP167	Left_Cume10_cluster_1
Cume10g0592	CumeCYP168	Left_Cume10_cluster_1
Cume10g0594	CumeCYP169	Left_Cume10_cluster_1
Cume10g0595	CumeCYP170	Left_Cume10_cluster_1
Cume10g0596	CumeCYP171	Left_Cume10_cluster_1
Cume10g0597	CumeCYP172	Left_Cume10_cluster_1
Cume10g0598	CumeCYP173	Left_Cume10_cluster_1
Cume10g0599	CumeCYP174	Left_Cume10_cluster_1
Cume10g0626	CumeAT35	Left_Cume10_cluster_1
Cume10g0627	CumeAT36	Left_Cume10_cluster_1
Cume10g0659	CumeCYP175	Left_Cume10_cluster_1
Cume10g0718	CumeAT37	Left_Cume10_cluster_1
Cume10g0735	CumeCYP176	Left_Cume10_cluster_1
Cume10g1069	CumeCYP177	clusterUn
Cume10g1281	CumeCYP178	clusterUn
Cume10g1292	CumeCYP179	clusterUn
Cume10g1448	CumeAT38	Left_Cume10_cluster_2
Cume10g1537	CumeIPPI23	Left_Cume10_cluster_2
Cume10g1556	CumeAT39	Left_Cume10_cluster_2
Cume11g0166	CumeSQS5	Left_Cume11_cluster_1
Cume11g0175	CumeCYP181	Left_Cume11_cluster_1
Cume11g0196	CumeCYP182	Left_Cume11_cluster_1
Cume11g0220	CumeGPPS4	Left_Cume11_cluster_1
Cume11g0583	CumeCYP183	Left_Cume11_cluster_2
Cume11g0586	CumeCYP184	Left_Cume11_cluster_2
Cume11g0587	CumeCYP185	Left_Cume11_cluster_2
Cume11g0591	CumeCYP186	Left_Cume11_cluster_2
Cume11g0592	CumeCYP187	Left_Cume11_cluster_2
Cume11g0593	CumeCYP188	Left_Cume11_cluster_2
Cume11g0594	CumeCYP189	Left_Cume11_cluster_2
Cume11g0596	CumeCYP190	Left_Cume11_cluster_2
Cume11g0644	CumeCYP191	Left_Cume11_cluster_2
Cume11g0663	CumeAT40	Left_Cume11_cluster_2
Cume11g0666	CumeAT41	Left_Cume11_cluster_2
